target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count	fet_p_value	target_and_keyphrase_ratio	fet_p_value_and_ratio	phenotypes
DRUG_15:BICALUTAMIDE	413	548	42948	20749320	0.0	0.7536496350364964	322.8823548406238	Prostate_cancer
DRUG_17:ESTRAMUSTINE	359	743	42948	20749320	0.0	0.4831763122476447	322.68929098226954	Prostate_cancer
DRUG_820:FINASTERIDE	447	1294	7275	20749320	0.0	0.3454404945904173	322.54355859425107	prostatic_hyperplasia
DRUG_12:FLUTAMIDE	446	1704	42948	20749320	0.0	0.26173708920187794	322.42305061573325	Prostate_cancer
DRUG_820:FINASTERIDE	256	1294	42948	20749320	0.0	0.19783616692426584	322.30149103643095	Prostate_cancer
DRUG_9:DOCETAXEL	671	4863	42948	20749320	0.0	0.13798067036808553	322.1450035980526	Prostate_cancer
DRUG_1081:TESTOSTERONE	1315	39547	42948	20749320	0.0	0.03325157407641541	321.5269975563848	Prostate_cancer
DRUG_1081:TESTOSTERONE	403	39547	7275	20749320	0.0	0.01019040635193567	321.0133768497001	prostatic_hyperplasia
DRUG_821:DUTASTERIDE	101	230	7275	20749320	8.40436727318035e-283	0.4391304347826087	281.7180885148271	prostatic_hyperplasia
DRUG_1113:PACLITAXEL	238	10646	42948	20749320	1.2402268887097821e-155	0.022355814390381364	153.2558893523955	Prostate_cancer
DRUG_821:DUTASTERIDE	79	230	42948	20749320	6.257815665389058e-150	0.34347826086956523	148.73947648915737	Prostate_cancer
DRUG_14:GENISTEIN	189	5981	42948	20749320	1.481519283632218e-150	0.03160006687844842	148.32898069307936	Prostate_cancer
DRUG_16:NILUTAMIDE	60	113	42948	20749320	4.887301675599387e-129	0.5309734513274337	128.0360036596043	Prostate_cancer
DRUG_712:DOXORUBICIN	201	16519	42948	20749320	6.964921774271067e-85	0.012167806767964163	82.2422960611859	Prostate_cancer
DRUG_1090:ESTRADIOL	139	42753	7275	20749320	2.8487035403170688e-83	0.0032512338315439852	80.05740095014295	prostatic_hyperplasia
DRUG_51:SURAMIN	90	2396	42948	20749320	3.9205395658374085e-79	0.037562604340567615	76.98140985463522	Prostate_cancer
DRUG_50:CAPROMAB	35	61	42948	20749320	1.302530721291623e-77	0.5737704918032787	76.6439502340435	Prostate_cancer
DRUG_820:FINASTERIDE	27	1294	266	20749320	1.5139463382775305e-77	0.020865533230293665	75.1393190059271	enlarged_prostate
DRUG_1090:ESTRADIOL	310	42753	42948	20749320	2.631313859860103e-75	0.0072509531494865855	72.44022244575002	Prostate_cancer
DRUG_6:ETOPOSIDE	146	10588	42948	20749320	6.901717992914029e-69	0.013789195315451454	66.30058171329144	Prostate_cancer
DRUG_821:DUTASTERIDE	18	230	266	20749320	1.2403224615325836e-62	0.0782608695652174	60.80001006048938	enlarged_prostate
DRUG_1065:TADALAFIL	33	618	7275	20749320	4.4456628474024754e-60	0.05339805825242718	58.07958894143843	prostatic_hyperplasia
DRUG_3:ABARELIX	23	32	42948	20749320	5.060609421942411e-55	0.71875	54.15237503796267	Prostate_cancer
DRUG_321:CURCUMIN	73	3052	42948	20749320	5.57001481981749e-51	0.023918741808650064	48.63288198016004	Prostate_cancer
DRUG_1092:INSULIN	681	177924	42948	20749320	8.034556588618282e-49	0.003827476900249545	45.67795066440368	Prostate_cancer
DRUG_7:ANDROSTENEDIONE	42	4880	7275	20749320	6.385335479397364e-43	0.00860655737704918	40.1296457487811	prostatic_hyperplasia
DRUG_7:ANDROSTENEDIONE	74	4880	42948	20749320	1.8970581070271177e-38	0.015163934426229509	35.90273126416446	Prostate_cancer
DRUG_227:RESVERATROL	58	2974	42948	20749320	3.746393952515541e-36	0.019502353732347006	33.71647358564698	Prostate_cancer
DRUG_10:SELENOMETHIONINE	37	1191	42948	20749320	1.2538842155132564e-30	0.031066330814441646	28.394032527273943	Prostate_cancer
DRUG_104:TOLTERODINE	17	438	7275	20749320	2.576255465739968e-29	0.03881278538812785	27.17798588469411	prostatic_hyperplasia
DRUG_506:GEFITINIB	43	2013	42948	20749320	8.61696604883364e-29	0.02136115250869349	26.394270298878382	Prostate_cancer
DRUG_1103:THALIDOMIDE	57	4280	42948	20749320	3.0877476985425212e-27	0.013317757009345794	24.634789279972072	Prostate_cancer
